Strike,LTP,OI,IV,Vega
16000,0.0,4.666666666666667,0.0,0.0
17000,8650.0,1460.0,0.0,0.0
18000,7700.0,836.3333333333334,0.0,0.0
19000,0.0,145.66666666666666,0.0,0.0
19000,0.0,1.3333333333333333,0.0,0.0
20000,5895.0,4859.0,0.0,0.0
21000,4907.15,5242.333333333333,0.0,0.0
21000,5299.0,59.0,0.0,0.0
22000,3907.6,6040.333333333333,0.0,0.0
22000,4299.0,10.0,0.0,0.0
22000,0.0,29.0,0.0,0.0
22700,0.0,84.0,0.0,0.0
22750,0.0,6.0,0.0,0.0
22800,0.0,280.0,0.0,0.0
22850,0.0,5.0,0.0,0.0
22850,0.0,0.0,0.0,0.0
22900,0.0,4.0,0.0,0.0
22900,0.0,2.0,0.0,0.0
22950,0.0,4.0,0.0,0.0
22950,0.0,1.0,0.0,0.0
23000,2770.0,7981.0,0.0,0.0
23000,2950.2,8232.0,0.0,0.0
23000,0.0,15.0,0.0,0.0
23000,0.0,10.0,0.0,0.0
23050,0.0,3.0,0.0,0.0
23050,0.0,1.0,0.0,0.0
23100,2498.75,33.0,0.0,0.0
23100,0.0,0.0,0.0,0.0
23150,0.0,4.0,0.0,0.0
23150,0.0,0.0,0.0,0.0
23200,2425.0,11.0,0.0,0.0
23200,0.0,1.0,0.0,0.0
23250,0.0,5.0,0.0,0.0
23250,0.0,0.0,0.0,0.0
23300,2269.85,18.0,0.0,0.0
23300,0.0,90.0,0.0,0.0
23300,0.0,0.0,0.0,0.0
23350,0.0,3.0,0.0,0.0
23350,0.0,5.0,0.0,0.0
23350,0.0,1.0,0.0,0.0
23400,2139.15,6.0,0.0,0.0
23400,2215.0,23.0,0.0,0.0
23400,0.0,4.0,0.0,0.0
23400,0.0,0.0,0.0,0.0
23450,0.0,4.0,0.0,0.0
23450,0.0,4.0,0.0,0.0
23450,0.0,15.0,0.0,0.0
23450,0.0,5.0,0.0,0.0
23500,2091.4,157.0,0.0,0.0
23500,2227.0,412.0,0.0,0.0
23500,2239.0,3161.0,0.0,0.0
23500,2429.2,202.0,0.0,0.0
23550,0.0,0.0,0.0,0.0
23550,1999.8,3.0,0.0,0.0
23550,0.0,6.0,0.0,0.0
23550,0.0,1.0,0.0,0.0
23600,0.0,3.0,0.0,0.0
23600,0.0,5.0,0.0,0.0
23600,0.0,28.0,0.0,0.0
23600,0.0,5.0,0.0,0.0
23650,1928.9,1.0,0.0,0.0
23650,0.0,4.0,0.0,0.0
23650,0.0,2.0,0.0,0.0
23650,0.0,1.0,0.0,0.0
23700,1917.0,3.0,0.0,0.0
23700,0.0,5.0,0.0,0.0
23700,0.0,31.0,0.0,0.0
23700,0.0,1.0,0.0,0.0
23750,0.0,0.0,0.0,0.0
23750,1940.0,6.0,0.0,0.0
23750,1820.0,5.0,0.0,0.0
23750,0.0,0.0,0.0,0.0
23750,0.0,0.0,0.0,0.0
23750,0.0,1.0,0.0,0.0
23800,0.0,4.0,0.0,0.0
23800,0.0,8.0,0.0,0.0
23800,0.0,40.0,0.0,0.0
23800,0.0,0.0,0.0,0.0
23800,0.0,0.0,0.0,0.0
23800,0.0,1.0,0.0,0.0
23850,0.0,4.0,0.0,0.0
23850,0.0,6.0,0.0,0.0
23850,0.0,9.0,0.0,0.0
23850,0.0,0.0,0.0,0.0
23850,0.0,0.0,0.0,0.0
23850,0.0,0.0,0.0,0.0
23900,1620.0,5.0,0.0,0.0
23900,1755.0,25.0,0.0,0.0
23900,0.0,69.0,0.0,0.0
23900,0.0,0.0,0.0,0.0
23900,0.0,0.0,0.0,0.0
23900,0.0,0.0,0.0,0.0
23950,0.0,3.0,0.0,0.0
23950,0.0,4.0,0.0,0.0
23950,0.0,5.0,0.0,0.0
23950,0.0,0.0,0.0,0.0
23950,0.0,0.0,0.0,0.0
23950,0.0,2.0,0.0,0.0
24000,1630.0,327.0,0.0,0.0
24000,1729.5,629.0,28.19,2.1388
24000,1785.0,6966.0,19.44,3.0955
24000,0.0,0.0,0.0,0.0
24000,1987.65,12228.666666666666,0.0,0.0
24000,2116.6,12.0,0.0,0.0
24000,2525.0,1827.0,0.0,0.0
24000,2741.05,153.0,0.0,0.0
24000,0.0,144.0,0.0,0.0
24050,0.0,5.0,0.0,0.0
24050,0.0,5.0,0.0,0.0
24050,0.0,14.0,0.0,0.0
24050,0.0,0.0,0.0,0.0
24050,0.0,0.0,0.0,0.0
24050,0.0,0.0,0.0,0.0
24100,1370.35,11.0,0.0,0.0
24100,1473.55,16.0,0.0,0.0
24100,1645.0,26.0,0.0,0.0
24100,0.0,0.0,0.0,0.0
24100,0.0,3.0,0.0,0.0
24100,0.0,0.0,0.0,0.0
24150,0.0,9.0,0.0,0.0
24150,0.0,5.0,0.0,0.0
24150,0.0,7.0,0.0,0.0
24150,0.0,0.0,0.0,0.0
24150,0.0,0.0,0.0,0.0
24150,0.0,0.0,0.0,0.0
24150,0.0,0.0,0.0,0.0
24200,1340.25,17.0,0.0,0.0
24200,0.0,27.0,0.0,0.0
24200,1427.85,172.0,0.0,0.0
24200,0.0,0.0,0.0,0.0
24200,0.0,0.0,0.0,0.0
24200,1640.0,9.0,0.0,0.0
24200,0.0,0.0,0.0,0.0
24250,1234.1,22.0,0.0,0.0
24250,0.0,7.0,0.0,0.0
24250,0.0,8.0,0.0,0.0
24250,0.0,0.0,0.0,0.0
24250,0.0,0.0,0.0,0.0
24250,0.0,1.0,0.0,0.0
24250,0.0,0.0,0.0,0.0
24300,1175.45,30.0,0.0,0.0
24300,1248.0,26.0,0.0,0.0
24300,1320.8,69.0,0.0,0.0
24300,0.0,0.0,0.0,0.0
24300,0.0,0.0,0.0,0.0
24300,1504.65,6.0,0.0,0.0
24300,0.0,0.0,0.0,0.0
24350,1221.15,5.0,0.0,0.0
24350,0.0,3.0,0.0,0.0
24350,0.0,7.0,0.0,0.0
24350,0.0,0.0,0.0,0.0
24350,0.0,0.0,0.0,0.0
24350,0.0,1.0,0.0,0.0
24350,0.0,0.0,0.0,0.0
24400,1224.95,41.0,0.0,0.0
24400,1234.2,33.0,0.0,0.0
24400,1290.0,117.0,0.0,0.0
24400,0.0,0.0,0.0,0.0
24400,0.0,0.0,0.0,0.0
24400,1484.0,16.0,0.0,0.0
24400,0.0,0.0,0.0,0.0
24450,1088.2,16.0,0.0,0.0
24450,0.0,0.0,0.0,0.0
24450,0.0,9.0,0.0,0.0
24450,0.0,0.0,0.0,0.0
24450,0.0,0.0,0.0,0.0
24450,0.0,4.0,0.0,0.0
24450,0.0,0.0,0.0,0.0
24500,1169.45,572.0,0.0,0.0
24500,1243.95,979.0,23.5,3.6839
24500,1300.8,3246.0,17.76,6.498
24500,0.0,0.0,0.0,0.0
24500,0.0,0.0,0.0,0.0
24500,1523.5,954.0,0.0,0.0
24500,1690.0,21.0,7.78,10.3516
24550,1079.8,10.0,0.0,0.0
24550,1058.0,2.0,0.0,0.0
24550,1120.0,36.0,0.0,0.0
24550,0.0,0.0,0.0,0.0
24550,0.0,0.0,0.0,0.0
24550,0.0,3.0,0.0,0.0
24550,0.0,0.0,0.0,0.0
24600,1014.35,86.0,0.0,0.0
24600,1138.0,172.0,21.49,3.6923
24600,1092.5,641.0,0.0,0.0
24600,0.0,0.0,0.0,0.0
24600,0.0,0.0,0.0,0.0
24600,1354.0,43.0,0.0,0.0
24600,0.0,0.0,0.0,0.0
24650,924.55,59.0,0.0,0.0
24650,995.0,6.0,0.0,0.0
24650,980.2,50.0,0.0,0.0
24650,0.0,0.0,0.0,0.0
24650,0.0,0.0,0.0,0.0
24650,0.0,3.0,0.0,0.0
24650,0.0,1.0,0.0,0.0
24700,969.25,290.0,0.0,0.0
24700,1041.0,386.0,18.72,3.334
24700,1101.35,644.0,14.95,6.657
24700,0.0,0.0,0.0,0.0
24700,0.0,0.0,0.0,0.0
24700,1235.95,91.0,0.0,0.0
24700,0.0,0.0,0.0,0.0
24750,901.6,94.0,0.0,0.0
24750,0.0,29.0,0.0,0.0
24750,0.0,47.0,0.0,0.0
24750,0.0,0.0,0.0,0.0
24750,0.0,0.0,0.0,0.0
24750,0.0,14.0,0.0,0.0
24750,1388.25,1.0,0.0,0.0
24800,871.0,237.0,0.0,0.0
24800,938.4,416.0,14.4,2.0501
24800,1007.0,875.0,15.89,8.9519
24800,0.0,0.0,0.0,0.0
24800,0.0,0.0,0.0,0.0
24800,1205.9,446.0,6.8,7.6856
24800,1355.5,1.0,0.0,0.0
24850,817.45,161.0,0.0,0.0
24850,855.55,36.0,0.0,0.0
24850,833.3,50.0,0.0,0.0
24850,0.0,0.0,0.0,0.0
24850,0.0,0.0,0.0,0.0
24850,1077.05,18.0,0.0,0.0
24850,0.0,3.0,0.0,0.0
24900,778.0,277.0,0.0,0.0
24900,842.75,657.0,16.32,4.1959
24900,907.95,732.0,11.89,6.5622
24900,0.0,0.0,0.0,0.0
24900,0.0,0.0,0.0,0.0
24900,1077.3,216.0,0.0,0.0
24900,0.0,1.0,0.0,0.0
24950,718.5,118.0,0.0,0.0
24950,0.0,17.0,0.0,0.0
24950,820.4,135.0,9.09,3.8285
24950,0.0,0.0,0.0,0.0
24950,0.0,0.0,0.0,0.0
24950,0.0,39.0,0.0,0.0
24950,0.0,1.0,0.0,0.0
25000,672.0,2636.0,0.0,0.0
25000,752.5,2985.0,16.57,5.6446
25000,819.8,14333.0,14.48,10.964
25000,790.15,2.0,0.0,0.0
25000,762.3,6.0,0.0,0.0
25000,1082.3,22057.0,10.42,23.4981
25000,1285.0,443.0,8.95,27.7856
25000,1696.0,4948.0,8.53,37.137
25000,2096.0,613.0,0.0,0.0
25000,3100.0,1183.3333333333333,0.0,0.0
25000,0.0,4.0,0.0,0.0
25050,627.65,184.0,0.0,0.0
25050,700.9,58.0,12.65,3.8106
25050,701.0,107.0,0.0,0.0
25050,0.0,0.0,0.0,0.0
25050,0.0,0.0,0.0,0.0
25050,884.0,26.0,0.0,0.0
25050,0.0,2.0,0.0,0.0
25100,575.7,754.0,0.0,0.0
25100,656.6,1333.0,15.59,6.5446
25100,731.2,1252.0,13.51,11.9244
25100,794.7,103.0,11.02,14.1954
25100,0.0,0.0,0.0,0.0
25100,984.4,398.0,10.03,25.1528
25100,1148.75,8.0,8.11,27.9645
25150,528.0,551.0,0.0,0.0
25150,608.1,118.0,14.23,6.5302
25150,683.9,208.0,11.04,10.5322
25150,0.0,0.0,0.0,0.0
25150,0.0,0.0,0.0,0.0
25150,0.0,17.0,0.0,0.0
25150,1100.0,1.0,7.86,28.6564
25200,473.1,1874.0,0.0,0.0
25200,562.85,3522.0,14.69,7.6448
25200,641.3,7811.0,13.29,13.58
25200,670.0,182.0,10.46,15.7759
25200,0.0,0.0,0.0,0.0
25200,901.7,964.0,9.95,27.4089
25200,1077.5,21.0,8.6,32.3809
25250,423.8,1553.0,0.0,0.0
25250,518.2,590.0,14.06,8.1557
25250,597.05,242.0,10.15,11.8445
25250,593.15,15.0,7.98,13.2905
25250,0.0,0.0,0.0,0.0
25250,838.35,165.0,9.01,27.0436
25250,976.75,0.0,6.18,25.286
25300,374.6,7601.0,0.0,0.0
25300,472.15,3955.0,13.71,8.8532
25300,558.75,4312.0,12.84,15.071
25300,625.0,153.0,11.04,18.5667
25300,624.7,9.0,8.88,19.9217
25300,837.2,959.0,10.0,29.7396
25300,930.0,20.0,6.05,26.6492
25350,324.3,8597.0,0.0,0.0
25350,429.75,908.0,13.38,9.5783
25350,509.85,991.0,12.31,15.6498
25350,530.25,46.0,9.31,18.0596
25350,0.0,0.0,0.0,0.0
25350,788.55,68.0,4.75,16.8212
25350,998.1,5.0,6.42,30.2381
25400,273.85,29573.0,0.0,0.0
25400,386.45,7786.0,12.88,10.2401
25400,477.25,6316.0,12.4,16.5129
25400,549.25,130.0,11.56,20.7394
25400,609.4,26.0,11.36,24.3495
25400,767.7,636.0,10.46,32.1858
25400,890.0,36.0,7.71,35.893
25450,224.05,25847.0,0.0,0.0
25450,346.2,3068.0,12.64,10.9875
25450,436.7,1733.0,12.28,17.2119
25450,506.9,43.0,10.4,20.9992
25450,520.4,5.0,9.38,24.0114
25450,694.7,72.0,9.34,32.156
25450,850.0,11.0,7.69,37.2801
25500,175.85,94558.0,0.0,0.0
25500,307.35,26143.0,12.25,11.6419
25500,403.2,30594.0,12.11,17.826
25500,474.4,680.0,11.66,22.2161
25500,520.0,344.0,10.81,25.6096
25500,697.0,8612.0,10.41,33.8087
25500,909.8,677.0,10.3,41.8291
25550,126.6,70036.0,0.0,0.0
25550,269.85,8383.0,11.98,12.2441
25550,366.35,2616.0,11.96,18.3611
25550,431.4,114.0,11.42,22.7425
25550,433.65,19.0,8.71,25.5082
25550,656.55,114.0,10.12,34.3991
25550,808.5,27.0,8.64,41.1757
25600,81.2,231096.0,3.74,0.6446
25600,236.0,36766.0,11.73,12.7206
25600,333.05,22675.0,11.77,18.7906
25600,403.2,432.0,11.39,23.2219
25600,466.05,69.0,10.99,26.8347
25600,627.95,2511.0,10.35,35.1514
25600,839.8,118.0,10.33,43.3656
25650,43.15,256519.0,4.62,3.5216
25650,204.25,11586.0,11.58,13.029
25650,301.25,4394.0,11.69,19.1084
25650,374.05,81.0,11.41,23.5907
25650,435.55,10.0,7.04,26.5476
25650,592.45,154.0,10.35,35.7129
25650,0.0,5.0,0.0,0.0
25700,17.5,367250.0,4.86,2.9272
25700,173.65,39174.0,11.36,13.1265
25700,269.85,27185.0,11.54,19.286
25700,341.15,590.0,11.18,23.8311
25700,402.0,123.0,10.62,27.5532
25700,563.65,4758.0,10.25,36.1694
25700,767.1,97.0,9.58,44.3382
25750,5.5,229318.0,5.01,0.8264
25750,146.65,11301.0,11.19,12.9898
25750,242.25,2682.0,11.4,19.3148
25750,310.1,122.0,11.48,23.9543
25750,324.5,10.0,9.29,27.7449
25750,536.25,423.0,10.2,36.5504
25750,0.0,1.0,0.0,0.0
25800,1.85,167824.0,5.55,0.1585
25800,122.0,44455.0,10.99,12.6027
25800,215.1,36235.0,11.3,19.1846
25800,282.4,476.0,11.06,23.945
25800,343.3,142.0,10.93,27.8449
25800,503.0,3916.0,10.26,36.8434
25800,711.6,149.0,10.27,45.5833
25850,0.8,84428.0,6.48,0.0467
25850,101.05,9602.0,10.89,11.9834
25850,189.85,2625.0,11.24,18.8942
25850,255.4,63.0,10.3,23.7715
25850,0.0,1.0,0.0,0.0
25850,453.25,386.0,9.78,37.0275
25850,0.0,30.0,0.0,0.0
25900,0.45,142627.0,7.56,0.0205
25900,82.1,21297.0,10.83,11.1678
25900,166.75,20303.0,11.13,18.4386
25900,230.2,342.0,10.93,23.5171
25900,285.0,98.0,10.62,27.6376
25900,442.65,3349.0,10.14,37.1215
25900,648.9,113.0,9.77,46.2367
25950,0.4,56620.0,8.73,0.0119
25950,65.95,8352.0,10.72,10.1671
25950,146.4,2913.0,11.07,17.8361
25950,203.75,97.0,10.59,23.0488
25950,245.35,24.0,10.03,27.2824
25950,416.9,219.0,9.62,37.105
25950,0.0,8.0,0.0,0.0
26000,0.4,215080.0,9.93,0.0081
26000,52.5,53112.0,10.65,9.0641
26000,128.45,95563.0,11.02,17.098
26000,188.55,1659.0,10.8,22.5452
26000,245.35,230.0,10.61,26.9458
26000,393.8,60829.0,10.2,36.9984
26000,589.0,3652.0,10.18,46.6432
26000,992.0,11343.0,9.76,61.1314
26000,1434.0,1830.6666666666667,7.53,69.8508
26000,0.0,10.0,0.0,0.0
26000,2370.0,1320.0,0.0,0.0
26000,0.0,1.0,0.0,0.0
26050,0.35,53229.0,10.84,0.0042
26050,41.1,9097.0,10.59,7.9055
26050,109.4,2489.0,10.9,16.2007
26050,168.75,144.0,10.73,21.8632
26050,169.0,8.0,8.77,25.7431
26050,360.75,213.0,10.05,36.7747
26050,530.2,40.0,9.48,46.7153
26100,0.3,103103.0,12.1,0.0035
26100,31.9,25930.0,10.56,6.7636
26100,94.4,30520.0,10.84,15.221
26100,150.95,991.0,10.75,21.1083
26100,187.2,154.0,10.12,25.6048
26100,342.25,2840.0,10.17,36.4758
26100,484.25,138.0,9.06,46.6927
26150,0.2,51524.0,13.36,0.0031
26150,24.7,7127.0,10.56,5.6904
26150,81.15,2596.0,10.87,14.2309
26150,130.25,82.0,10.49,20.0782
26150,160.0,5.0,9.76,24.6
26150,320.2,144.0,10.13,36.0628
26150,429.6,19.0,8.44,46.5346
26200,0.25,99777.0,14.59,0.0027
26200,19.1,28712.0,10.6,4.7314
26200,69.3,42917.0,10.79,13.0974
26200,118.25,726.0,10.62,19.2214
26200,167.1,99.0,10.58,24.2798
26200,297.0,4406.0,10.09,35.5511
26200,459.4,198.0,9.6,46.4012
26250,0.25,42714.0,15.47,0.0017
26250,14.75,7555.0,10.68,3.9059
26250,59.5,2924.0,10.83,12.0497
26250,100.45,89.0,10.32,17.9108
26250,0.0,0.0,0.0,0.0
26250,280.35,213.0,10.04,34.9387
26250,0.0,8.0,0.0,0.0
26300,0.25,73229.0,16.2,0.001
26300,11.35,32671.0,10.72,3.1495
26300,50.2,25985.0,10.8,10.9245
26300,91.3,653.0,10.68,17.2247
26300,110.3,3.0,9.55,21.3383
26300,255.55,2782.0,10.0,34.2367
26300,418.0,136.0,9.72,45.7866
26350,0.25,28069.0,17.84,0.0014
26350,8.85,7233.0,10.87,2.5866
26350,42.4,2441.0,10.83,9.8843
26350,72.2,169.0,10.23,15.5677
26350,236.75,217.0,9.96,33.446
26350,378.3,45.0,9.35,45.2245
26400,0.25,56923.0,18.5,0.0008
26400,7.1,18446.0,11.04,2.1249
26400,35.45,16105.0,10.81,8.8137
26400,70.45,1202.0,10.43,14.7064
26400,218.85,2723.0,9.99,32.6354
26400,351.0,49.0,9.22,44.6058
26450,0.2,28087.0,20.62,0.0016
26450,5.7,5304.0,11.21,1.7383
26450,30.2,1965.0,10.87,7.8925
26450,56.9,206.0,10.39,13.5205
26450,0.0,0.0,0.0,0.0
26450,201.5,213.0,9.91,31.6519
26450,326.2,36.0,9.13,43.8955
26500,0.2,101275.0,20.77,0.0007
26500,4.75,51300.0,11.45,1.4562
26500,25.5,46495.0,10.91,7.0011
26500,54.7,1801.0,10.71,12.906
26500,84.6,130.0,9.97,17.2749
26500,185.65,23816.0,9.91,30.6835
26500,352.8,1697.0,10.07,43.8325
26550,0.15,17750.0,22.48,0.001
26550,3.65,5681.0,11.58,1.1665
26550,21.1,1781.0,10.94,6.1584
26550,46.7,147.0,10.64,11.7247
26550,169.2,169.0,9.87,29.6078
26550,325.9,69.0,9.96,43.0739
26600,0.15,46095.0,22.21,0.0003
26600,3.15,17340.0,11.8,0.9683
26600,17.7,8847.0,10.97,5.3815
