Strike,LTP,OI,IV,Vega
16000,3.0,218.66666666666666,47.96,0.6275
17000,4.05,1005.6666666666666,43.72,0.8813
18000,6.45,2380.6666666666665,40.33,1.3961
19000,7.75,5379.333333333333,35.45,1.7375
19000,0.0,3.3333333333333335,0.0,0.0
20000,10.05,10374.666666666666,31.47,2.5009
21000,12.6,21694.333333333332,27.06,3.398
21000,35.5,2317.0,20.76,11.6732
22000,14.6,19852.666666666668,22.58,4.6843
22000,48.5,3745.0,18.4,16.2414
22000,155.0,3210.6666666666665,17.9,45.4791
22700,4.25,5710.0,27.66,1.021
22750,4.1,120.0,27.11,1.0083
22800,4.25,504.0,27.16,1.1296
22850,4.3,102.0,26.43,1.0755
22850,0.0,59.0,0.0,0.0
22900,4.9,340.0,26.19,1.1354
22900,21.3,149.0,18.89,6.9294
22950,0.0,58.0,0.0,0.0
22950,18.75,45.0,18.21,6.5207
23000,4.5,19459.0,25.41,1.1885
23000,21.8,30819.666666666668,18.44,7.214
23000,75.75,6980.0,16.26,23.4427
23000,109.35,3048.3333333333335,15.63,34.8689
23050,0.0,97.0,0.0,0.0
23050,0.0,25.0,0.0,0.0
23100,5.7,685.0,24.53,1.2188
23100,20.25,45.0,17.65,7.0802
23150,0.0,61.0,0.0,0.0
23150,0.0,30.0,0.0,0.0
23200,4.6,708.0,23.94,1.3342
23200,23.3,151.0,17.55,7.8535
23250,4.6,22.0,23.25,1.2789
23250,29.55,69.0,18.07,9.04
23300,0.1,72582.0,56.58,0.0001
23300,4.75,428.0,23.08,1.3787
23300,22.5,203.0,16.89,7.9061
23350,0.15,5022.0,57.17,0.0002
23350,5.65,39.0,23.04,1.5287
23350,27.85,45.0,17.3,8.9862
23400,0.2,1896.0,57.29,0.0003
23400,2.05,18999.0,27.44,0.3661
23400,4.75,562.0,22.69,1.5841
23400,23.75,1185.0,16.55,8.4242
23450,0.2,877.0,56.08,0.0003
23450,2.0,722.0,26.89,0.3739
23450,5.1,41.0,22.03,1.5338
23450,27.05,37.0,16.65,9.099
23500,0.25,16022.0,54.86,0.0003
23500,2.25,22458.0,26.64,0.4131
23500,5.55,12173.0,21.6,1.5625
23500,26.1,6288.0,16.23,9.0128
23550,0.25,1036.0,55.53,0.0006
23550,2.35,159.0,26.22,0.4371
23550,6.3,87.0,21.64,1.7692
23550,29.0,44.0,16.31,9.6944
23600,0.2,2510.0,54.28,0.0006
23600,2.3,1150.0,25.59,0.4386
23600,6.1,687.0,21.0,1.7237
23600,28.1,181.0,15.93,9.6788
23650,0.3,907.0,52.2,0.0005
23650,2.15,177.0,25.17,0.4651
23650,7.3,38.0,21.21,2.0237
23650,33.1,36.0,16.18,10.6688
23700,0.3,3265.0,51.78,0.0006
23700,2.4,859.0,24.86,0.5081
23700,6.35,2518.0,20.24,1.8388
23700,31.25,538.0,15.71,10.527
23750,0.3,2297.0,50.54,0.0007
23750,2.45,707.0,24.36,0.5289
23750,6.5,68.0,19.97,1.9494
23750,10.25,59.0,17.85,3.4567
23750,31.6,103.0,15.46,10.7428
23750,50.9,1198.0,14.57,17.0848
23800,0.3,12778.0,49.29,0.0007
23800,2.6,2230.0,23.85,0.5496
23800,6.6,7366.0,19.48,1.9673
23800,11.0,278.0,17.67,3.6739
23800,32.15,2939.0,15.21,10.9667
23800,52.9,78.0,14.55,17.8149
23850,0.3,1481.0,48.71,0.0009
23850,2.7,532.0,23.39,0.5794
23850,7.3,556.0,19.42,2.19
23850,0.0,15.0,0.0,0.0
23850,36.8,66.0,15.38,11.9193
23850,65.5,27.0,14.99,19.5716
23900,0.3,11869.0,47.45,0.001
23900,2.85,4336.0,22.98,0.6197
23900,7.3,3343.0,18.89,2.1955
23900,0.0,0.0,0.0,0.0
23900,36.85,1011.0,15.12,12.1583
23900,57.0,49.0,14.24,18.7091
23950,0.3,3327.0,46.19,0.001
23950,2.9,728.0,22.35,0.626
23950,8.45,170.0,18.96,2.5139
23950,0.0,0.0,0.0,0.0
23950,36.6,133.0,14.79,12.2828
23950,64.0,40.0,14.4,19.8922
24000,0.3,51676.0,44.3,0.0008
24000,3.15,33654.0,22.12,0.7042
24000,7.8,27755.0,18.19,2.3979
24000,12.05,528.0,16.38,4.1882
24000,39.5,54112.666666666664,14.7,12.8439
24000,63.9,1526.0,14.07,19.9796
24000,135.45,16627.0,14.72,35.3783
24000,192.6,4452.0,14.81,49.0845
24000,340.0,1764.0,16.76,71.9445
24050,0.35,3929.0,44.21,0.0014
24050,3.2,693.0,21.44,0.704
24050,8.25,241.0,17.97,2.5832
24050,15.9,84.0,16.82,5.0293
24050,40.3,142.0,14.53,13.2795
24050,0.0,5.0,0.0,0.0
24100,0.35,8221.0,42.93,0.0014
24100,3.4,4824.0,21.13,0.7778
24100,8.75,2336.0,17.63,2.7119
24100,13.65,239.0,15.96,4.703
24100,42.05,2120.0,14.34,13.6946
24100,69.5,23.0,13.94,21.4002
24150,0.4,4167.0,41.66,0.0015
24150,3.6,618.0,20.54,0.7987
24150,9.0,340.0,17.4,2.9183
24150,0.0,0.0,0.0,0.0
24150,23.85,2.0,15.38,7.76
24150,44.05,133.0,14.2,14.2185
24150,0.0,1.0,0.0,0.0
24200,0.4,24466.0,40.38,0.0016
24200,3.65,10788.0,20.12,0.8597
24200,9.95,5356.0,17.01,3.0368
24200,15.2,123.0,15.47,5.2164
24200,27.95,34.0,15.52,8.5657
24200,46.35,2976.0,14.03,14.7046
24200,71.2,1731.0,13.45,22.0513
24250,0.45,3354.0,39.1,0.0017
24250,3.9,1350.0,19.68,0.922
24250,10.05,801.0,16.69,3.2113
24250,0.0,0.0,0.0,0.0
24250,31.7,0.0,15.57,9.2863
24250,51.55,178.0,14.13,15.7113
24250,0.0,0.0,0.0,0.0
24300,0.45,18674.0,38.26,0.0021
24300,4.0,11761.0,19.19,0.9775
24300,10.95,6113.0,16.38,3.4062
24300,17.05,155.0,15.0,5.8197
24300,26.4,17.0,14.58,8.6664
24300,50.4,3078.0,13.72,15.7879
24300,80.55,281.0,13.44,23.8671
24350,0.45,5716.0,36.97,0.0022
24350,4.3,1932.0,18.79,1.0635
24350,11.4,852.0,16.01,3.5719
24350,0.0,0.0,0.0,0.0
24350,36.35,0.0,15.28,10.3007
24350,53.7,250.0,13.64,16.4999
24350,0.0,0.0,0.0,0.0
